Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 3/4 x 11 1/2"" (22.3 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,22.3,29.2,,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"8 3/4 x 11 1/2"" (22.3 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,22.3,29.2,,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8,,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Pencil on paper,"11 1/4 x 8 3/4"" (28.6 x 22.3 cm)",,Architecture & Design,Mies van der Rohe Archive,28.6,22.3,,
"Hubbe House Project, Magdeburg, Germany (Plan sketch)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"11 x 21 3/4"" (28 x 55.2 cm)",,Architecture & Design,Mies van der Rohe Archive,28,55.2,,
"Hubbe House Project, Magdeburg, Germany (Plan sketch)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"11 3/4 x 21 1/2"" (29.9 x 54.6 cm)",,Architecture & Design,Mies van der Rohe Archive,29.9,54.6,,
"Hubbe House Project, Magdeburg, Germany (Perspective sketch)",Ludwig Mies van der Rohe,1934,Ink on paper,"8 1/4 x 11 3/4"" (21 x 29.9 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.9,,
"Hubbe House Project, Magdeburg, Germany (Site plan)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"11 x 12"" (28 x 30.5 cm)",,Architecture & Design,Mies van der Rohe Archive,28,30.4801,,
"Hubbe House Project, Magdeburg, Germany, Floor plan sketch",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8,,
"Hubbe House Project, Magdeburg, Germany, Floor plan sketch",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8,,
"Hubbe House Project, Magdeburg, Germany, Floor plan sketch",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8,,
"Hubbe House Project, Magdeburg, Germany (Plan sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.9 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.9,,
"Hubbe-related Study (Two floor plans, sketch)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"15 3/4 x 21 1/2"" (40 x 54.6 cm)",,Architecture & Design,Mies van der Rohe Archive,40.0051,54.6,,
Lounge Chair Sketches,Ludwig Mies van der Rohe,1934,Pencil and colored pencil,"9 13/16 x 13 11/16"" (24.9 x 34.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,24.9,34.8,,
"Lounge Chair with Arms, Elevation sketches",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21,29.5,,
Lounge Chair with Arms (Elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1,29.5,,
Lounge Chair with Arms. Chair without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1934,Ink and colored pencil on paper,"8 1/4 x 11 11/16"" (20.9 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.9,29.7,,
"Chair with Arms, Elevation sketches",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 11/16"" (20.9 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.9,29.7,,
Reclining Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 7/8"" (10.3 x 17.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.4,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
"Reclining Chair without Arms, with Figure (Elevation sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Perspective and elevation sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
"Reclining Chair without Arms, with Figure (Elevation sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
"Reclining Chair without Arms, with Figure (Elevation sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"4 1/16 x 6 13/16"" (10.3 x 17.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3,17.3,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1934,Charcoal and pencil on paper,"42 15/16 x 54 7/8"" (109 x 139.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,109,139.4,,
"Court House, project, Perspective sketch with mural",Ludwig Mies van der Rohe,1934,Ink on paper mounted on board,"11 7/8 x 8 1/4"" (30.2 x 21 cm)",10/2/03,Architecture & Design,Architecture,30.1626,20.955,,
"Hubbe House, project

Magdeburg, Germany

Sketch interior perspective view",Ludwig Mies van der Rohe,1934,Ink on tracing paper,"8 3/8 x 11 3/4"" (21.3 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,21.2725,29.8451,,
Unidentified Sketch (Chair frame connection sketch),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 1/8 x 8 1/4"" (30.8 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,30.7976,20.955,,
"Reclining Chair without Arms (Two elevation sketches, one perspective sketch)",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair without Arms (Two elevation sketches),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 1/4 x 8 1/4"" (31.1 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.1151,20.955,,
"Reclining Chair without Arms (Two elevation sketches, one detail perspective sketch)",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 3/8 x 8 3/16"" (31.4 x 20.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.4326,20.7963,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"12 1/4 x 8 3/16""",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.1151,20.7963,,
Reclining Chair without Arms (Four elevation sketches),Ludwig Mies van der Rohe,1934,"Pencil, colored pencil on paper","8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Couch (Three elevation sketches),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Couch (One elevation sketch, one perspective sketch)",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"MR1002 Flower Stand (Perspective, M1:10)","Ludwig Mies van der Rohe, Lilly Reich",1934,Pencil on tracing paper,"12 5/8 x 8 7/8"" (32.1 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.06756414,22.54254509,,
Reclining Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 5/8 x 8 3/16"" (32.1 x 20.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.0676,20.7963,,
"Reclining Chair without Arms (One elevation sketch, one perspective sketch)",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair without Arms (Two elevation sketches),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 5/16 x 8 1/4"" (31.3 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.2738,20.955,,
Lounge Chair without Arms (Elevation sketch with figure),Ludwig Mies van der Rohe,1934,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Reclining Chair without Arms. Table. (Elevation sketch; two perspective sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"11 3/16 x 8 7/8"" (28.4 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.4163,22.5425,,
"Reclining Chair without Arms (Two elevation sketches, one with figure)",Ludwig Mies van der Rohe,1934,Colored pencil on paper,"11 1/4 x 8 11/16"" (28.6 x 22.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.0663,,
Reclining Chair with and without Arms (Two elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
"Reclining Chair without Arms (Two elevation sketches,one with figure)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
"Reclining Chair without Arms (Two elevation sketches, one perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair, Rocker, with Arms (Perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 11/16 x 11 1/8"" (22.1 x 28.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.0663,28.2576,,
"Lounge Chair without Arms, with Figure (Perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
"Lounge Chair with Rocker, without Arms, with Figure (Perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
"Lounge Chair without Arms (Two perspective sketches, one detail elevation sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
Lounge Chair without Arms (Perspective sketch; webbing detail sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
Lounge Chair without Arms. Frame. (Perspective sketch; elevation sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
"Lounge Chair without Arms, with Figure",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 5/8 x 11 1/4"" (21.9 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.9075,28.5751,,
"Lounge Chair without Arms (One perspective sketch, one elevation sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge Chair with and without Arms (Fourteen elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"11 11/16 x 8 5/16"" (29.7 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,21.1138,,
Chair Frame Detail (Elevation sketch),Ludwig Mies van der Rohe,1934,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Chairs with Arms (Three elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"11 11/16 x 8 5/16"" (29.7 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.7,21.1,,
Lounge Chair with and without Arms (recto and verso) (Perspective and elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"12 15/16 x 8 1/4"" (32.8 x 20.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8,20.9,,
Lounge Chair without Arms,Ludwig Mies van der Rohe,1934,Pencil on paper,"10 1/2 x 11 3/16"" (26.7 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,26.6701,28.4163,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"9 1/16 x 11 3/4"" (23 x 29.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,23.0188,29.8451,,
Reclining Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"12 15/16 x 8 3/16"" (32.9 x 20.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.7963,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1934,Pencil and ink on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Chair with Arms. Unidentified sketches. (Elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
"Reclining Chair with and without Arms (Elevation sketches, perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil and ink on tracing paper,"8 1/4 x 12 13/16"" (21 x 32.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.5438,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"9 1/2 x 12 5/16"" (24.1 x 31.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,24.13,31.2738,,
Couch (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"10 15/16 x 11 9/16"" (27.8 x 29.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.7813,29.3688,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"10 15/16 x 12 3/8"" (27.8 x 31.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.7813,31.4326,,
"Lounge Chair with Rocker, without Arms (Perspective sketch)",Ludwig Mies van der Rohe,1934,Pen and ink on tracing paper,"11 5/16 x 12 5/16"" (28.7 x 31.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.7338,31.2738,,
"Reclining Chair with Rocker, with Arms (Perspective sketch)",Ludwig Mies van der Rohe,1934,"Ink, colored pencil and pencil on tracing paper","11 1/2 x 11 7/16"" (29.2 x 29.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.2101,29.1,,
Rocker Lounge Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1934,"Ink, colored pencil and pencil on tracing paper","10 5/8 x 11 3/16"" (27 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,26.9876,28.4163,,
Lounge Chair with Arms (Two elevation sketches),Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
"Lounge Chair with Arms. Frame Detail. (Elevation sketches, perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
"Chair with Arms. Chair Frame Detail. Table. Table Frame Detail. (Elevation sketches, perspective sketches)",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"11 11/16 x 8 5/16""",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,21.1138,,
Daybed (Perspective sketch),Ludwig Mies van der Rohe,1934,Ink on tracing paper,"12 3/4 x 15 3/4"" (32.4 x 40 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.3851,40.0051,,
"Reclining Frame (Elevation sketches, perspective sketches)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"12 1/2 x 19 5/8"" (31.8 x 49.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.7501,49.8476,,
Reclining Chair with Arms and Rocker (Perspective sketch),Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 11/16 x 11 1/8"" (22.1 x 28.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.0663,28.2576,,
Reclining Chair with Arms and Rocker (Perspective sketch),Ludwig Mies van der Rohe,1934,Colored pencil on paper,"8 11/16 x 11 1/8"" (22.1 x 28.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.0663,28.2576,,
"Lounge Chair with Rocker, without Arms (Perspective sketch)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"10 15/16 x 11 1/2"" (27.8 x 29.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.7813,29.2101,,
